States,Year,Quarter,Trans_Type,Trans_Counts,Amount
Assam,2022,1,Others,178812,94659207.47
Assam,2022,2,Peer to Peer Payments,33879530,1.24E+11
Assam,2022,2,Merchant payments,28377534,24333260090
Assam,2022,2,"Recharge , bill payments",13858113,4814695680
Assam,2022,2,Financial Services,50785,55549153.74
Assam,2022,2,Others,168763,77624058.02
Assam,2022,3,Peer to Peer Payments,37000266,1.27E+11
Assam,2022,3,Merchant payments,34935460,28789992307
Assam,2022,3,"Recharge , bill payments",13974568,5295136932
Assam,2022,3,Financial Services,65066,62882386.46
Assam,2022,3,Others,138451,76363577.27
Assam,2022,4,Peer to Peer Payments,44828832,1.51E+11
Assam,2022,4,Merchant payments,43605784,36033810142
Assam,2022,4,"Recharge , bill payments",15344794,5773980885
Assam,2022,4,Financial Services,74414,75960367.92
Assam,2022,4,Others,127443,76370123.6
Bihar,2018,1,"Recharge , bill payments",3159922,375559206.8
Bihar,2018,1,Peer to Peer Payments,2052089,5295346761
Bihar,2018,1,Financial Services,194295,33999413.88
Bihar,2018,1,Merchant payments,138885,139827755.7
Bihar,2018,1,Others,279111,201025034.2
Bihar,2018,2,"Recharge , bill payments",4346849,700649777.1
Bihar,2018,2,Peer to Peer Payments,3447898,12141448845
Bihar,2018,2,Merchant payments,311487,318571872.8
Bihar,2018,2,Financial Services,267433,45332532.1
Bihar,2018,2,Others,258711,300128082.6
Bihar,2018,3,Peer to Peer Payments,8893764,18695889188
Bihar,2018,3,"Recharge , bill payments",4401439,804061398.5
Bihar,2018,3,Merchant payments,586862,367608510.7
Bihar,2018,3,Financial Services,274510,33276460.45
Bihar,2018,3,Others,211229,234968821.3
Bihar,2018,4,Peer to Peer Payments,8094296,26224303883
Bihar,2018,4,"Recharge , bill payments",5469096,986310785
Bihar,2018,4,Merchant payments,1680664,848968693.1
Bihar,2018,4,Financial Services,237247,36199427.51
Bihar,2018,4,Others,251098,302214380.2
Bihar,2019,1,Peer to Peer Payments,16807040,38824078062
Bihar,2019,1,"Recharge , bill payments",7036367,1333688183
Bihar,2019,1,Merchant payments,2055267,1024997000
Bihar,2019,1,Financial Services,204689,28599535.73
Bihar,2019,1,Others,252871,291464734.4
Bihar,2019,2,Peer to Peer Payments,15837449,58381285241
Bihar,2019,2,"Recharge , bill payments",9279442,1996804238
Bihar,2019,2,Merchant payments,4365465,2308145850
Bihar,2019,2,Financial Services,129603,63338108.54
Bihar,2019,2,Others,348520,382864846.1
Bihar,2019,3,Peer to Peer Payments,15446119,61831776093
Bihar,2019,3,"Recharge , bill payments",9115040,2140566975
Bihar,2019,3,Merchant payments,7206001,3413490288
Bihar,2019,3,Financial Services,89997,20145460.43
Bihar,2019,3,Others,282743,286804437.7
Bihar,2019,4,Peer to Peer Payments,26337842,86340631422
Bihar,2019,4,"Recharge , bill payments",11358597,2649616530
Bihar,2019,4,Merchant payments,5519582,4177574379
Bihar,2019,4,Financial Services,100192,18815964.76
Bihar,2019,4,Others,214101,126788281.9
Bihar,2020,1,Peer to Peer Payments,23163922,99873688133
Bihar,2020,1,"Recharge , bill payments",13837430,3680590625
Bihar,2020,1,Merchant payments,7822567,5562692117
Bihar,2020,1,Financial Services,57233,23954789.41
Bihar,2020,1,Others,200663,115927863.5
Bihar,2020,2,Peer to Peer Payments,26572651,1.16E+11
Bihar,2020,2,"Recharge , bill payments",19522564,5642294772
