States,Year,Quarter,Brand,User_Counts,Percentage
Andhra Pradesh,2020,3,Realme,1207622,0.076955827
Andhra Pradesh,2020,3,Motorola,477313,0.030416816
Andhra Pradesh,2020,3,Huawei,408520,0.026032976
Andhra Pradesh,2020,3,Apple,370327,0.023599123
Andhra Pradesh,2020,3,OnePlus,322028,0.020521265
Andhra Pradesh,2020,3,Lenovo,260912,0.016626642
Andhra Pradesh,2020,3,Others,1129155,0.07195551
Andhra Pradesh,2020,4,Xiaomi,4325662,0.253309843
Andhra Pradesh,2020,4,Samsung,3419866,0.200266623
Andhra Pradesh,2020,4,Vivo,2950572,0.172784866
Andhra Pradesh,2020,4,Oppo,1856052,0.108690009
Andhra Pradesh,2020,4,Realme,1361491,0.079728622
Andhra Pradesh,2020,4,Motorola,506158,0.029640504
Andhra Pradesh,2020,4,Huawei,437125,0.025597947
Andhra Pradesh,2020,4,Apple,394191,0.023083741
Andhra Pradesh,2020,4,OnePlus,336518,0.019706422
Andhra Pradesh,2020,4,Lenovo,276671,0.016201795
Andhra Pradesh,2020,4,Others,1212259,0.070989628
Andhra Pradesh,2021,1,Xiaomi,4644641,0.252924664
Andhra Pradesh,2021,1,Samsung,3635596,0.197976958
Andhra Pradesh,2021,1,Vivo,3245151,0.176715214
Andhra Pradesh,2021,1,Oppo,2010506,0.109482424
Andhra Pradesh,2021,1,Realme,1531645,0.083405972
Andhra Pradesh,2021,1,Motorola,518115,0.028214035
Andhra Pradesh,2021,1,Huawei,455604,0.024809988
Andhra Pradesh,2021,1,Apple,421002,0.022925731
Andhra Pradesh,2021,1,OnePlus,355922,0.019381789
Andhra Pradesh,2021,1,Lenovo,277980,0.015137445
Andhra Pradesh,2021,1,Others,1267571,0.06902578
Andhra Pradesh,2021,2,Xiaomi,4937684,0.251654243
Andhra Pradesh,2021,2,Samsung,3798250,0.193581795
Andhra Pradesh,2021,2,Vivo,3572140,0.182057861
Andhra Pradesh,2021,2,Oppo,2173037,0.11075111
Andhra Pradesh,2021,2,Realme,1817804,0.092646287
Andhra Pradesh,2021,2,Motorola,503072,0.025639592
Andhra Pradesh,2021,2,Apple,450689,0.022969838
Andhra Pradesh,2021,2,Huawei,440324,0.022441574
Andhra Pradesh,2021,2,OnePlus,394851,0.020123995
Andhra Pradesh,2021,2,Lenovo,261201,0.013312383
