States,Year,Quarter,District,Trans_Counts,Amount
Arunachal Pradesh,2018,3,Pakke Kessang District,165,305164.8171
Arunachal Pradesh,2018,3,Dibang Valley District,29,196466.667
Arunachal Pradesh,2018,3,West Kameng District,17026,48528147.45
Arunachal Pradesh,2018,3,East Siang District,10539,24885270.77
Arunachal Pradesh,2018,3,Upper Subansiri District,1601,4223297.614
Arunachal Pradesh,2018,3,East Kameng District,1029,3132863.591
Arunachal Pradesh,2018,3,Lohit District,11595,32702331.66
Arunachal Pradesh,2018,3,Lepa Rada District,523,1777602.437
Arunachal Pradesh,2018,3,Tawang District,8715,25733824.99
Arunachal Pradesh,2018,3,Namsai District,5076,10698272.77
Arunachal Pradesh,2018,4,Lower Dibang Valley District,4227,10951332.39
Arunachal Pradesh,2018,4,Lower Subansiri District,3735,8884930.591
Arunachal Pradesh,2018,4,Longding District,6581,22545311.85
Arunachal Pradesh,2018,4,West Siang District,3813,14013986.24
Arunachal Pradesh,2018,4,Kamle District,247,361497.0568
Arunachal Pradesh,2018,4,Upper Siang District,1041,2157332.947
Arunachal Pradesh,2018,4,Tirap District,5725,10811742.67
Arunachal Pradesh,2018,4,Papum Pare District,55224,154875448.2
Arunachal Pradesh,2018,4,Kurung Kumey District,444,759686.7196
Arunachal Pradesh,2018,4,Anjaw District,273,495578.1994
Arunachal Pradesh,2018,4,Siang District,822,2176630.237
Arunachal Pradesh,2018,4,Lower Siang District,2883,4533291.201
Arunachal Pradesh,2018,4,Kra Daadi District,750,3254327.442
Arunachal Pradesh,2018,4,Changlang District,13950,32343047.41
Arunachal Pradesh,2018,4,Pakke Kessang District,297,462143.519
Arunachal Pradesh,2018,4,Dibang Valley District,40,97205.28809
Arunachal Pradesh,2018,4,West Kameng District,25439,89194886.84
Arunachal Pradesh,2018,4,Shi Yomi District,61,42483.80153
Arunachal Pradesh,2018,4,East Siang District,12893,34272134.34
Arunachal Pradesh,2018,4,Upper Subansiri District,2686,8771042.08
Arunachal Pradesh,2018,4,East Kameng District,1750,5936855.71
Arunachal Pradesh,2018,4,Lohit District,14268,40510521.95
Arunachal Pradesh,2018,4,Lepa Rada District,932,3023578.189
Arunachal Pradesh,2018,4,Tawang District,11104,35921510.89
Arunachal Pradesh,2018,4,Namsai District,7244,17643523.29
Arunachal Pradesh,2019,1,Lower Dibang Valley District,6314,13738776.18
Arunachal Pradesh,2019,1,Lower Subansiri District,4994,12615032.12
Arunachal Pradesh,2019,1,Longding District,7287,25349462.06
Arunachal Pradesh,2019,1,West Siang District,5921,19426751.3
Arunachal Pradesh,2019,1,Kamle District,391,725807.1059
Arunachal Pradesh,2019,1,Upper Siang District,1154,2756678.308
Arunachal Pradesh,2019,1,Tirap District,6877,14075747.84
Arunachal Pradesh,2019,1,Papum Pare District,70941,188556716.4
Arunachal Pradesh,2019,1,Kurung Kumey District,740,2076644.122
Arunachal Pradesh,2019,1,Anjaw District,2116,4643030.796
