States,Year,Quarter,District,Trans_Counts,Amount
Tamilnadu,2020,4,Coimbatore,10473572,18723397961
Tamilnadu,2020,4,Thiruvallur,10184454,17303936393
Tamilnadu,2020,4,Chengalpattu,10168033,13669246948
Tamilnadu,2020,4,Kancheepuram,6509711,9795433898
Tamilnadu,2020,4,Krishnagiri,5011992,9044884706
Tamilnadu,2020,4,Salem,4407759,9865912488
Tamilnadu,2020,4,Tiruppur,4364806,8662796447
Tamilnadu,2020,4,Madurai,3222620,7010358411
Tamilnadu,2020,4,Erode,2534766,5126731992
Tamilnadu,2021,1,Chennai,39623781,67401706553
Tamilnadu,2021,1,Coimbatore,13630124,22657497372
Tamilnadu,2021,1,Chengalpattu,11689531,15537387200
Tamilnadu,2021,1,Thiruvallur,11085004,18895161862
Tamilnadu,2021,1,Kancheepuram,7239244,10815729803
Tamilnadu,2021,1,Salem,5675889,12397067358
Tamilnadu,2021,1,Krishnagiri,5202492,9440763059
Tamilnadu,2021,1,Tiruppur,4975985,9855808601
Tamilnadu,2021,1,Madurai,3516926,7776155489
Tamilnadu,2021,1,Erode,3015359,6105816825
Tamilnadu,2021,2,Chennai,43737916,74499227804
Tamilnadu,2021,2,Coimbatore,13478464,22760967334
Tamilnadu,2021,2,Thiruvallur,10992425,19318347570
Tamilnadu,2021,2,Chengalpattu,10075805,14457269251
Tamilnadu,2021,2,Kancheepuram,6712965,10372666957
Tamilnadu,2021,2,Salem,6557056,13210082951
Tamilnadu,2021,2,Krishnagiri,5709389,10202810394
Tamilnadu,2021,2,Tiruppur,5150795,9379303653
Tamilnadu,2021,2,Madurai,3953976,8300059490
Tamilnadu,2021,2,Erode,3273510,6223483781
Tamilnadu,2021,3,Chennai,60971210,1.00E+11
Tamilnadu,2021,3,Coimbatore,20245762,33773953434
Tamilnadu,2021,3,Thiruvallur,15395149,26049988525
Tamilnadu,2021,3,Chengalpattu,14140388,19685011909
Tamilnadu,2021,3,Kancheepuram,9646258,14550143057
Tamilnadu,2021,3,Salem,8972048,18517560410
Tamilnadu,2021,3,Tiruppur,8398025,15282996500
Tamilnadu,2021,3,Krishnagiri,8122339,14578072273
Tamilnadu,2021,3,Madurai,5142737,11208939184
Tamilnadu,2021,3,Erode,4668549,9015063257
Tamilnadu,2021,4,Chennai,76229690,1.18E+11
Tamilnadu,2021,4,Coimbatore,27081380,43635817078
Tamilnadu,2021,4,Thiruvallur,19146359,31072880036
Tamilnadu,2021,4,Chengalpattu,17730987,23840432091
Tamilnadu,2021,4,Salem,11783515,22754882845
Tamilnadu,2021,4,Kancheepuram,11777894,17286201190
Tamilnadu,2021,4,Tiruppur,11167439,18701118258
Tamilnadu,2021,4,Krishnagiri,10363352,18220873237
Tamilnadu,2021,4,Madurai,6309318,13464800515
Tamilnadu,2021,4,Erode,6109637,11279232351
Tamilnadu,2022,1,Chennai,87458453,1.35E+11
Tamilnadu,2022,1,Coimbatore,30679187,51963955887
Tamilnadu,2022,1,Thiruvallur,21243322,35412374869
Tamilnadu,2022,1,Chengalpattu,19802491,27209616573
Tamilnadu,2022,1,Salem,13278693,26325325606
Tamilnadu,2022,1,Kancheepuram,13219354,19642924523
Tamilnadu,2022,1,Tiruppur,12755181,20994558968
Tamilnadu,2022,1,Krishnagiri,11729353,20650466209
Tamilnadu,2022,1,Madurai,7084562,15309320990
Tamilnadu,2022,1,Erode,6860000,12788323701
Tamilnadu,2022,2,Chennai,105344784,1.55E+11
Tamilnadu,2022,2,Coimbatore,36695888,59260276493
Tamilnadu,2022,2,Thiruvallur,25490825,40588215772
Tamilnadu,2022,2,Chengalpattu,25456618,33118244167
Tamilnadu,2022,2,Salem,16106627,30338068695
Tamilnadu,2022,2,Kancheepuram,15868496,22731542492
Tamilnadu,2022,2,Tiruppur,15482000,23838727353
Tamilnadu,2022,2,Krishnagiri,13942838,24721054680
Tamilnadu,2022,2,Madurai,8320838,17264493942
Tamilnadu,2022,2,Erode,8037374,14313011584
Tamilnadu,2022,3,Chengalpattu,78987490,1.06E+11
Tamilnadu,2022,3,Coimbatore,43610373,63815834930
Tamilnadu,2022,3,Chennai,42908667,65344650468
Tamilnadu,2022,3,Salem,31403065,50435972372
Tamilnadu,2022,3,Thiruvallur,25690184,40124901027
Tamilnadu,2022,3,Madurai,18854500,34963057318
Tamilnadu,2022,3,Tiruppur,17847117,25599159009
Tamilnadu,2022,3,Kancheepuram,16476680,22598905114
Tamilnadu,2022,3,Krishnagiri,14932340,25680854033
Tamilnadu,2022,3,Erode,9576460,15897874507
Tamilnadu,2022,4,Chengalpattu,109159290,1.44E+11
Tamilnadu,2022,4,Coimbatore,40259816,56926594390
Tamilnadu,2022,4,Chennai,36087169,52708969518
Tamilnadu,2022,4,Salem,33193962,52189264731
Tamilnadu,2022,4,Thiruvallur,27335584,41018657465
Tamilnadu,2022,4,Madurai,21930141,39075713284
Tamilnadu,2022,4,Tiruppur,20078625,27993817373
Tamilnadu,2022,4,Kancheepuram,17540782,22979273761
Tamilnadu,2022,4,Krishnagiri,16419186,27528800881
Tamilnadu,2022,4,Tiruchirappalli,10348183,18674871634
Telangana,2018,1,Hyderabad,2545507,4287223790
Telangana,2018,1,Rangareddy,1459174,2677304926
Telangana,2018,1,Medchal Malkajgiri,1131530,1912837341
Telangana,2018,1,Warangal Urban,349165,421074107
Telangana,2018,1,Sangareddy,291510,399236233.2
Telangana,2018,1,Karimnagar,224324,271526470.1
Telangana,2018,1,Nalgonda,204137,267825160.5
Telangana,2018,1,Khammam,183964,245857422.2
Telangana,2018,1,Peddapalle,169274,199610181.2
Telangana,2018,1,Siddipet,144429,197965018
Telangana,2018,2,Hyderabad,3156805,6628159911
Telangana,2018,2,Rangareddy,1939856,4360690898
Telangana,2018,2,Medchal Malkajgiri,1459884,3122661501
Telangana,2018,2,Warangal Urban,385360,729207663.3
Telangana,2018,2,Sangareddy,370126,717109835.7
Telangana,2018,2,Karimnagar,253264,526580356.2
Telangana,2018,2,Nalgonda,246677,552006649.1
Telangana,2018,2,Khammam,239474,532458838.4
Telangana,2018,2,Peddapalle,214900,413454435.3
Telangana,2018,2,Bhadradri Kothagudem,189793,504562629.3
Telangana,2018,3,Hyderabad,5786941,9503554478
Telangana,2018,3,Rangareddy,3664948,6264254849
Telangana,2018,3,Medchal Malkajgiri,2684484,4630531107
Telangana,2018,3,Warangal Urban,952314,1158736730
Telangana,2018,3,Nirmal,594160,443226269.9
Telangana,2018,3,Karimnagar,567417,773038295.6
Telangana,2018,3,Sangareddy,545979,1010420935
Telangana,2018,3,Nalgonda,336447,645159574.9
Telangana,2018,3,Peddapalle,334825,548785775.8
Telangana,2018,3,Khammam,299774,611486713.6
Telangana,2018,4,Hyderabad,9360515,14727846732
Telangana,2018,4,Rangareddy,5803319,9396311751
Telangana,2018,4,Medchal Malkajgiri,4598129,7288821271
Telangana,2018,4,Warangal Urban,917418,1553820916
Telangana,2018,4,Sangareddy,868099,1617023610
Telangana,2018,4,Karimnagar,597642,1058366452
Telangana,2018,4,Nalgonda,520637,1111613193
Telangana,2018,4,Khammam,462678,958128373.8
Telangana,2018,4,Siddipet,414378,824913162.4
Telangana,2018,4,Peddapalle,390467,777939864.6
Telangana,2019,1,Hyderabad,24838664,34892156029
Telangana,2019,1,Rangareddy,12952050,17677048558
Telangana,2019,1,Medchal Malkajgiri,10127087,13392043971
Telangana,2019,1,Warangal Urban,1953906,2836690648
Telangana,2019,1,Sangareddy,1782207,2801488635
Telangana,2019,1,Karimnagar,1088155,1693944274
Telangana,2019,1,Nalgonda,995740,1769178907
Telangana,2019,1,Khammam,854495,1481079756
Telangana,2019,1,Siddipet,841516,1380114924
Telangana,2019,1,Nizamabad,705541,1347187035
Telangana,2019,2,Hyderabad,43511186,73949377453
Telangana,2019,2,Rangareddy,16348519,25359412038
Telangana,2019,2,Medchal Malkajgiri,11891107,17462610963
Telangana,2019,2,Warangal Urban,2185190,3832142348
Telangana,2019,2,Sangareddy,1920044,3684548499
Telangana,2019,2,Karimnagar,1090639,2218679007
Telangana,2019,2,Nalgonda,982589,2323581177
Telangana,2019,2,Khammam,926878,2063514016
Telangana,2019,2,Siddipet,821209,1837834819
Telangana,2019,2,Nizamabad,782289,1812827883
Telangana,2019,3,Hyderabad,55159072,96365182751
Telangana,2019,3,Rangareddy,23655175,33663962263
Telangana,2019,3,Medchal Malkajgiri,17492750,23256556346
Telangana,2019,3,Warangal Urban,3280635,5206094338
Telangana,2019,3,Sangareddy,2699670,4722370405
Telangana,2019,3,Karimnagar,1604219,2911171015
Telangana,2019,3,Khammam,1352931,2602393109
Telangana,2019,3,Nalgonda,1306394,2779870436
Telangana,2019,3,Nizamabad,1143733,2214953317
Telangana,2019,3,Siddipet,1075629,2226176149
Telangana,2019,4,Hyderabad,72987282,1.30E+11
Telangana,2019,4,Rangareddy,31237803,44757331444
Telangana,2019,4,Medchal Malkajgiri,22999944,31417907130
Telangana,2019,4,Warangal Urban,4698981,7877138784
Telangana,2019,4,Sangareddy,3687957,6643761917
Telangana,2019,4,Karimnagar,2289360,4404111001
